kata,label_heuristik,label_final,stemming
pilih,whitelist,whitelist,pilih
pimpin,lain,lain,
pindah,lain,lain,
ping,whitelist,whitelist,ping
pinggang,lain,lain,
pintar,lain,lain,
pirsa,lain,lain,
pisah,lain,lain,
play,lain,lain,
player,lain,lain,
players,lain,lain,
playing,asing,asing,
pohon,lain,lain,
poin,lain,lain,
pola,lain,lain,
polandia,lain,lain,
poles,lain,lain,
polisi,whitelist,whitelist,polis
pompa,lain,lain,
pool,lain,lain,
popularitas,lain,lain,
populasi,whitelist,whitelist,populas
populer,lain,lain,
posisi,whitelist,whitelist,posis
positif,lain,lain,
potensi,whitelist,whitelist,potens
potensial,lain,lain,
potong,lain,lain,
prajurit,lain,lain,
praktik,lain,lain,
praktis,lain,lain,
prediksi,whitelist,whitelist,prediks
pria,lain,lain,
pribadi,whitelist,whitelist,pribad
prioritas,lain,lain,
produser,lain,lain,
profesional,lain,lain,
profil,lain,lain,
program,lain,lain,
progres,lain,lain,
promosi,whitelist,whitelist,promos
proses,lain,lain,
proyek,lain,lain,
psikologis,lain,lain,
puas,lain,lain,
publik,lain,lain,
pudar,lain,lain,
pudge,lain,lain,
puji,whitelist,whitelist,puj
pukul,lain,lain,
pulih,lain,lain,
puluh,lain,lain,
puncak,lain,lain,
pura,lain,lain,
pusat,lain,lain,
pustaka,lain,lain,
putar,lain,lain,
putih,lain,lain,
putra,lain,lain,
putus,lain,lain,
racun,lain,lain,
radiant,lain,lain,
ragam,lain,lain,
rage,lain,lain,
ragu,lain,lain,
rahasia,lain,lain,
raja,lain,lain,
rajalela,lain,lain,
raksasa,lain,lain,
ramah,lain,lain,
rambut,lain,lain,
ramping,asing,asing,
rancang,lain,lain,
random,lain,lain,
rang,lain,lain,
rangkai,whitelist,whitelist,rangka
rangkak,lain,lain,
rangkul,lain,lain,
ranjau,lain,lain,
ranked,whitelist,whitelist,ranked
ranks,lain,lain,
rapuh,lain,lain,
ras,lain,lain,
rasa,lain,lain,
rasial,lain,lain,
rasio,lain,lain,
rasisme,lain,lain,
rata,lain,lain,
ratus,lain,lain,
raya,lain,lain,
rayap,lain,lain,
reaksi,whitelist,whitelist,reaks
realitas,lain,lain,
rebut,lain,lain,
reda,lain,lain,
redam,lain,lain,
referensi,whitelist,whitelist,referens
refleks,lain,lain,
refleksi,whitelist,whitelist,refleks
reguler,lain,lain,
rekan,whitelist,whitelist,rek
rekomendasi,whitelist,whitelist,rekomendas
relatif,lain,lain,
relevan,whitelist,whitelist,relev
remaja,lain,lain,
remake,whitelist,whitelist,remake
rencana,lain,lain,
rendah,lain,lain,
rentang,lain,lain,
replay,lain,lain,
replayability,asing,asing,
repot,lain,lain,
resap,lain,lain,
resmi,whitelist,whitelist,resm
respons,lain,lain,
responsif,lain,lain,
retard,lain,lain,
retas,lain,lain,
ria,lain,lain,
riak,lain,lain,
ribu,lain,lain,
rich,lain,lain,
rilis,lain,lain,
ringan,whitelist,whitelist,ring
ringkas,lain,lain,
riset,lain,lain,
risiko,lain,lain,
ritme,lain,lain,
robek,lain,lain,
roda,lain,lain,
rokok,lain,lain,
roshan,whitelist,whitelist,roshan
roulette,lain,lain,
ruang,lain,lain,
rubick,whitelist,whitelist,rubick
rugi,whitelist,whitelist,rug
rumah,whitelist,whitelist,rumah
rumit,lain,lain,
rumput,lain,lain,
rupa,lain,lain,
rusa,lain,lain,
rusak,lain,lain,
rusia,lain,lain,
rutin,lain,lain,
sabar,lain,lain,
sadap,lain,lain,
sadar,lain,lain,
sahabat,lain,lain,
saing,asing,asing,
sakit,lain,lain,
saksi,whitelist,whitelist,saks
saku,lain,lain,
salah,lain,lain,
saldo,lain,lain,
sali,whitelist,whitelist,sal
salin,lain,lain,
sama,lain,lain,
samar,lain,lain,
sambut,lain,lain,
sampah,lain,lain,
samping,asing,asing,
sandera,lain,lain,
sangkal,lain,lain,
santa,lain,lain,
santai,whitelist,whitelist,santa
sapi,whitelist,whitelist,sap
sapu,lain,lain,
saraf,lain,lain,
saran,whitelist,whitelist,sar
satu,lain,lain,
saudara,lain,lain,
sayang,lain,lain,
sebab,lain,lain,
sebal,lain,lain,
sebar,lain,lain,
sebentar,lain,lain,
sebut,lain,lain,
sederhana,lain,lain,
sedia,lain,lain,
sedih,lain,lain,
sedot,lain,lain,
segar,lain,lain,
sehat,lain,lain,
sejahtera,lain,lain,
sejarah,lain,lain,
sejati,whitelist,whitelist,sejat
seka,lain,lain,
sekarat,lain,lain,
sekolah,whitelist,whitelist,seko
seksi,whitelist,whitelist,seks
sekuel,lain,lain,
sekutu,lain,lain,
selam,lain,lain,
selamat,lain,lain,
selatan,whitelist,whitelist,selat
selesai,whitelist,whitelist,selesa
seluk,lain,lain,
seluler,lain,lain,
semangat,lain,lain,
semarak,lain,lain,
sembuh,lain,lain,
sembunyi,whitelist,whitelist,sembuny
semesta,lain,lain,
sempat,lain,lain,
sempurna,lain,lain,
senang,lain,lain,
sengaja,lain,lain,
sengsara,lain,lain,
seni,whitelist,whitelist,sen
senjata,lain,lain,
sensasi,whitelist,whitelist,sensas
sentak,lain,lain,
sentuh,lain,lain,
sepakat,lain,lain,
sepatu,lain,lain,
sepeda,lain,lain,
sepenuh,lain,lain,
serah,lain,lain,
serang,lain,lain,
serba,lain,lain,
seret,lain,lain,
sergap,lain,lain,
seringkali,whitelist,whitelist,seringkal
serius,lain,lain,
server,whitelist,whitelist,server
sesal,lain,lain,
sesat,lain,lain,
sesi,whitelist,whitelist,ses
sesuai,whitelist,whitelist,sesua
setan,whitelist,whitelist,set
setapak,lain,lain,
setia,lain,lain,
setrum,lain,lain,
shadow,lain,lain,
shithole,lain,lain,
sia,lain,lain,
sial,lain,lain,
siang,lain,lain,
siap,lain,lain,
siar,lain,lain,
sibuk,lain,lain,
sifat,lain,lain,
signifikan,whitelist,whitelist,signifi
sihir,lain,lain,
sikap,lain,lain,
siklus,lain,lain,
siksa,lain,lain,
sila,lain,lain,
simpan,whitelist,whitelist,simp
simpul,lain,lain,
simulator,lain,lain,
sinar,lain,lain,
sindrom,lain,lain,
sinergi,whitelist,whitelist,sinerg
singgung,lain,lain,
singkat,lain,lain,
singkir,lain,lain,
sinkronisasi,whitelist,whitelist,sinkronisas
sisa,lain,lain,
sisi,whitelist,whitelist,sis
sistem,whitelist,whitelist,sistem
sistematis,lain,lain,
situ,lain,lain,
situasi,whitelist,whitelist,situas
skala,lain,lain,
skema,lain,lain,
skor,lain,lain,
skuad,lain,lain,
slot,lain,lain,
smite,lain,lain,
smurf,whitelist,whitelist,smurf
smurfing,whitelist,whitelist,smurfing
smurfs,whitelist,whitelist,smurfs
sniper,lain,lain,
sobat,lain,lain,
solid,lain,lain,
solo,whitelist,whitelist,solo
solusi,whitelist,whitelist,solus
sombong,lain,lain,
sopan,whitelist,whitelist,sop
sorot,lain,lain,
sosial,lain,lain,
spam,lain,lain,
spanyol,lain,lain,
spektakuler,lain,lain,
spektrum,lain,lain,
spesifik,lain,lain,
spiritual,lain,lain,
spoiler,lain,lain,
sports,lain,lain,
stabil,lain,lain,
stabilitas,lain,lain,
standar,lain,lain,
stat,lain,lain,
statistik,whitelist,whitelist,statistik
status,lain,lain,
steam,lain,lain,
stomp,lain,lain,
storm,lain,lain,
story,lain,lain,
strategi,whitelist,whitelist,strateg
strategis,lain,lain,
stres,lain,lain,
struktur,lain,lain,
studio,lain,lain,
stunlock,whitelist,whitelist,stunlock
suara,lain,lain,
suasana,lain,lain,
sudut,lain,lain,
suka,lain,lain,
sukacita,lain,lain,
sukarela,lain,lain,
sukses,lain,lain,
sulang,lain,lain,
sulit,lain,lain,
sumber,lain,lain,
sumpah,lain,lain,
sungai,whitelist,whitelist,sunga
sungguh,lain,lain,
sunting,asing,asing,
super,lain,lain,
surga,lain,lain,
suruh,lain,lain,
surut,lain,lain,
survival,lain,lain,
susun,lain,lain,
syarat,lain,lain,
tabrak,lain,lain,
tabur,lain,lain,
tagalog,lain,lain,
tagih,lain,lain,
tahan,whitelist,whitelist,tah
tahap,lain,lain,
tahta,lain,lain,
tahu,lain,lain,
tahun,lain,lain,
tajam,lain,lain,
takjub,lain,lain,
taktik,lain,lain,
taktis,lain,lain,
takut,lain,lain,
tambah,lain,lain,
tambal,lain,lain,
tambang,lain,lain,
tampil,lain,lain,
tan,lain,lain,
tanah,lain,lain,
tanam,lain,lain,
tanda,lain,lain,
tanding,asing,asing,
tangan,whitelist,whitelist,tang
tanggal,lain,lain,
tanggap,lain,lain,
tanggung,lain,lain,
tangkal,lain,lain,
tangkap,lain,lain,
tani,whitelist,whitelist,tan
tank,lain,lain,
tanpa,lain,lain,
tantang,lain,lain,
tara,lain,lain,
target,lain,lain,
tari,whitelist,whitelist,tar
tarik,lain,lain,
taruh,lain,lain,
tarung,lain,lain,
tatap,lain,lain,
tawa,lain,lain,
tawar,lain,lain,
team,whitelist,whitelist,team
tebak,lain,lain,
tebal,lain,lain,
tebing,asing,asing,
tegak,lain,lain,
tegang,lain,lain,
teka,lain,lain,
tekad,lain,lain,
tekan,whitelist,whitelist,tek
teki,whitelist,whitelist,tek
teknis,lain,lain,
teknisi,whitelist,whitelist,teknis
teks,lain,lain,
tekstur,lain,lain,
tekun,lain,lain,
telepon,lain,lain,
teleportasi,whitelist,whitelist,teleportas
teliti,whitelist,whitelist,telit
telusur,lain,lain,
teman,whitelist,whitelist,tem
tembak,lain,lain,
tembus,lain,lain,
tempat,lain,lain,
tempel,lain,lain,
tempo,lain,lain,
tempur,lain,lain,
temu,lain,lain,
tenaga,lain,lain,
tenang,lain,lain,
tendang,lain,lain,
tengah,lain,lain,
tenggara,lain,lain,
tenggelam,lain,lain,
tenggorok,lain,lain,
tengkar,lain,lain,
tentang,lain,lain,
tentu,lain,lain,
teori,whitelist,whitelist,teor
tepat,lain,lain,
terampil,whitelist,whitelist,ampil
terap,imbuhan,imbuhan,
terapi,whitelist,whitelist,api
terbang,whitelist,whitelist,bang
teriak,whitelist,whitelist,iak
terima,whitelist,whitelist,ima
terkadang,whitelist,whitelist,kadang
terowongan,whitelist,whitelist,owong
terrarium,whitelist,whitelist,rarium
tertawa,whitelist,whitelist,tawa
terus,imbuhan,imbuhan,
tetangga,lain,lain,
tetap,lain,lain,
tetes,lain,lain,
this,lain,lain,
tidur,lain,lain,
tier,lain,lain,
tiga,lain,lain,
tikai,whitelist,whitelist,tika
tiket,lain,lain,
tikus,lain,lain,
tim,lain,lain,
timbang,lain,lain,
timbersaw,lain,lain,
time,lain,lain,
timur,lain,lain,
tindak,lain,lain,
tinggal,lain,lain,
tinggi,whitelist,whitelist,tingg
tingkat,whitelist,whitelist,tingkat
tinjau,lain,lain,
tipe,lain,lain,
tips,lain,lain,
tipu,lain,lain,
titik,lain,lain,
tldr,lain,lain,
toko,lain,lain,
toksisitas,lain,lain,
tolak,lain,lain,
tombol,lain,lain,
tongkat,lain,lain,
tonjol,lain,lain,
tonton,lain,lain,
topang,lain,lain,
total,lain,lain,
towers,lain,lain,
tradisional,lain,lain,
transaksi,whitelist,whitelist,transaks
trauma,lain,lain,
trik,lain,lain,
troll,whitelist,whitelist,troll
tryhard,whitelist,whitelist,tryhard
tuan,lain,lain,
tubuh,lain,lain,
tugas,lain,lain,
tuhan,whitelist,whitelist,tuh
tuju,lain,lain,
tukar,lain,lain,
tuli,whitelist,whitelist,tul
tulis,lain,lain,
tulus,lain,lain,
tumbuh,lain,lain,
tumpu,lain,lain,
tumpuk,lain,lain,
tunai,whitelist,whitelist,tuna
tunda,lain,lain,
tunggal,lain,lain,
tunggu,lain,lain,
tunjuk,lain,lain,
tuntut,lain,lain,
turbo,whitelist,whitelist,turbo
turnamen,lain,lain,
turun,lain,lain,
tutorial,lain,lain,
tutup,lain,lain,
uang,lain,lain,
uap,lain,lain,
ubah,lain,lain,
uji,lain,lain,
ujung,lain,lain,
ukraina,lain,lain,
ukur,lain,lain,
ulang,lain,lain,
ulas,lain,lain,
umpan,whitelist,whitelist,ump
umur,lain,lain,
undang,lain,lain,
unduh,lain,lain,
unggul,lain,lain,
ungkap,lain,lain,
uni,lain,lain,
unik,lain,lain,
unit,lain,lain,
untuk,lain,lain,
untun,lain,lain,
untung,lain,lain,
upaya,lain,lain,
urus,lain,lain,
urut,lain,lain,
usaha,lain,lain,
usia,lain,lain,
usir,lain,lain,
utama,lain,lain,
utara,lain,lain,
utilitas,lain,lain,
valve,whitelist,whitelist,valve
variabel,lain,lain,
variasi,whitelist,whitelist,varias
varietas,lain,lain,
verbal,lain,lain,
verifikasi,whitelist,whitelist,verifikas
versi,whitelist,whitelist,vers
versus,lain,lain,
vertikal,lain,lain,
very,lain,lain,
veteran,whitelist,whitelist,veter
video,lain,lain,
visi,whitelist,whitelist,vis
visual,lain,lain,
vokal,lain,lain,
volvo,whitelist,whitelist,volvo
wajah,lain,lain,
wajib,lain,lain,
wakil,lain,lain,
wanita,lain,lain,
waras,lain,lain,
warcraft,whitelist,whitelist,warcraft
warlock,lain,lain,
warna,lain,lain,
when,lain,lain,
wifi,whitelist,whitelist,wif
wilayah,lain,lain,
will,lain,lain,
winrate,whitelist,whitelist,winrate
with,lain,lain,
worth,lain,lain,
wujud,lain,lain,
yahudi,whitelist,whitelist,yahud
yakin,lain,lain,
your,lain,lain,
zaman,whitelist,whitelist,zam
